Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,
10-06-2026,16:08,CONSTELLATION ENERGY CORP,US21037T1097,NDQ,XNAS,4,244.0000,USD,-976.00,USD,-844.00,1.1564,-2.11,-2.00,-848.11,,tx-001
26-05-2026,20:49,VISTRA CORP,US92840M1027,NSY,CDED,7,164.0800,USD,-1148.56,USD,-987.67,1.1629,-2.47,-2.00,-992.14,,tx-002
14-04-2026,08:00,ALPHABET INC CLASS A,US02079K3059,TDG,XGAT,4,272.6500,EUR,-1090.60,EUR,-1090.60,,0.00,-3.90,-1094.50,,tx-003
10-03-2026,09:46,ALPHABET INC CLASS A,US02079K3059,TDG,XGAT,4,264.0000,EUR,-1056.00,EUR,-1056.00,,0.00,-3.90,-1059.90,,tx-004
10-02-2026,07:40,ALPHABET INC CLASS A,US02079K3059,TDG,XGAT,4,272.0000,EUR,-1088.00,EUR,-1088.00,,0.00,-3.90,-1091.90,,tx-005
09-01-2026,10:44,ALPHABET INC CLASS A,US02079K3059,TDG,XGAT,3,281.1000,EUR,-843.30,EUR,-843.30,,0.00,-3.90,-847.20,,tx-006
16-12-2025,09:44,ALPHABET INC CLASS A,US02079K3059,TDG,XGAT,15,259.9500,EUR,-3899.25,EUR,-3899.25,,0.00,-3.90,-3903.15,,tx-007
05-12-2025,10:38,STST SPDR S&P US TECHNOLOGY SEL SCTR UCITS ETF ACC,IE00BWBXM948,XET,XETA,15,133.3400,EUR,-2000.10,EUR,-2000.10,,0.00,-3.00,-2003.10,,tx-008
