Date,Time,Value date,Product,ISIN,Description,FX,Change,,Balance,,Order Id
23-02-2026,10:42,31-01-2026,,,DEGIRO Exchange Connection Fee 2026 (Tradegate AG - TDG),,EUR,-2.50,EUR,151.55,
23-02-2026,10:42,31-01-2026,,,DEGIRO Exchange Connection Fee 2026 (Xetra - XET),,EUR,-2.50,EUR,154.05,
10-02-2026,08:20,10-02-2026,,,Degiro Cash Sweep Transfer,,EUR,1091.90,EUR,156.55,
10-02-2026,08:20,10-02-2026,,,"Transfer from your Cash Account at flatexDEGIRO Bank SE: 1,091.9 EUR",,,,EUR,-935.35,
10-02-2026,07:40,10-02-2026,ALPHABET INC CLASS A,US02079K3059,DEGIRO Transaction and/or third party fees,,EUR,-3.90,EUR,156.55,ac-005
10-02-2026,07:40,10-02-2026,ALPHABET INC CLASS A,US02079K3059,Buy 4 Alphabet Inc Class A@272 EUR (US02079K3059),,EUR,-1088.00,EUR,160.45,ac-005
09-02-2026,10:50,09-02-2026,,,flatex Deposit,,EUR,1000.00,EUR,1248.45,
20-01-2026,18:35,20-01-2026,,,Degiro Cash Sweep Transfer,,EUR,-6.90,EUR,248.45,
20-01-2026,18:35,20-01-2026,,,Transfer to your Cash Account at flatexDEGIRO Bank SE: 6.9 EUR,,,,EUR,255.35,
20-01-2026,15:39,20-01-2026,,,DEGIRO Rebate Promotion,,EUR,6.90,EUR,248.45,
13-01-2026,10:44,13-01-2026,,,Degiro Cash Sweep Transfer,,EUR,5.00,EUR,241.55,
13-01-2026,10:44,13-01-2026,,,Transfer from your Cash Account at flatexDEGIRO Bank SE: 5 EUR,,,,EUR,236.55,
13-01-2026,09:27,31-12-2025,,,DEGIRO Exchange Connection Fee 2025 (Tradegate AG - TDG),,EUR,-2.50,EUR,241.55,
13-01-2026,09:27,31-12-2025,,,DEGIRO Exchange Connection Fee 2025 (Xetra - XET),,EUR,-2.50,EUR,244.05,
09-01-2026,11:31,09-01-2026,,,Degiro Cash Sweep Transfer,,EUR,847.20,EUR,246.55,
09-01-2026,11:31,09-01-2026,,,Transfer from your Cash Account at flatexDEGIRO Bank SE: 847.2 EUR,,,,EUR,-600.65,
09-01-2026,10:44,09-01-2026,ALPHABET INC CLASS A,US02079K3059,DEGIRO Transaction and/or third party fees,,EUR,-3.90,EUR,246.55,ac-006
09-01-2026,10:44,09-01-2026,ALPHABET INC CLASS A,US02079K3059,Buy 3 Alphabet Inc Class A@281.1 EUR (US02079K3059),,EUR,-843.30,EUR,250.45,ac-006
07-01-2026,10:40,07-01-2026,,,flatex Deposit,,EUR,1000.00,EUR,1093.75,
